trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.6, 'e': 0.5192886541166856}",25,0,-58.990201449073375,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.9111302618846769}",20,0,-51.14963434048838,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.984687855794127}",20,0,-44.59776031303882,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.7142656520272003}",25,0,-221.25540124560683,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 5}",0
18,False,"{'a': 0.6, 'e': 0.19432990645533654}",25,0,-33.54534787948468,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.6, 'e': 0.3934908663478909}",25,5,-58.8488651326266,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.6, 'e': 0.8438539587324921}",30,0,-119.57127986090958,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.9994345855010047}",20,0,-167.88548386721592,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
22,False,"{'a': 0.6, 'e': 0.8058839576404507}",25,0,-139.4055798926857,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
23,False,"{'a': 0.6, 'e': 0.3308148779490486}",20,3,5.85297481863874,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.6, 'e': 0.2598173562137541}",20,10,6.9795177189053765,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.6, 'e': 0.7596879128588213}",20,8,-51.339961773303955,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.6, 'e': 0.9941776251838151}",20,0,-113.93753757378708,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
27,False,"{'a': 0.6, 'e': 0.8813724903622346}",25,0,-153.75177389064515,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
28,False,"{'a': 0.6, 'e': 0.46067858741136253}",25,0,-115.01893760448726,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
29,False,"{'a': 0.6, 'e': 0.12094359992847414}",25,11,9.160703011366188,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.6, 'e': 0.6603167082440802}",25,0,-56.551462730852926,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.6, 'e': 0.969022192939049}",20,0,-101.79514860870931,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
